track_id	track_name	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	duration_ms	time_signature
0yU8ftsMI0LDMtee8TDsDR	Feed The Fire (feat. Lucky Daye)	0.849	0.682	7.0	-6.241	1.0	0.123	0.0197	0.00143	0.0996	0.928	121.997	audio_features	245471.0	4.0
4fSIb4hdOQ151TILNsSEaF	Todo De Ti	0.78	0.718	3.0	-3.605	0.0	0.0506	0.31	0.000163	0.0932	0.342	127.949	audio_features	199604.0	4.0
5iqfKcEGKhoeWTNqmZPiu3	Love Of Your Life	0.632	0.826	10.0	-5.326	0.0	0.0699	0.00161	2.89e-06	0.146	0.474	111.886	audio_features	196171.0	4.0
3x1GYhxqDZDjBsyKR6OkIn	All Night, Pt. 1 - Mixed	0.752	0.908	1.0	-3.681	1.0	0.254	0.0819	0.000445	0.39	0.58	137.76	audio_features	97999.0	4.0
1tNnVkmOyGXD9m7rJHUFcK	Thinking Of You - Radio Edit	0.724	0.73	5.0	-6.6	1.0	0.0639	0.00701	1.61e-05	0.129	0.506	122.027	audio_features	248277.0	4.0
7JmK3uKGEyLpJOjqVX3F8i	Feeling Free (with Pretty Boy Aaron)	0.731	0.705	5.0	-5.855	0.0	0.0968	0.0138	0.00129	0.129	0.549	115.099	audio_features	212737.0	4.0
4gcO8PD4skPOBneayOCBdE	Weekend Love	0.739	0.623	10.0	-5.593	0.0	0.0738	0.254	0.000212	0.129	0.821	115.139	audio_features	219280.0	4.0
0ESqWR83n8C2iIkakrNMmD	All Of My Dreams	0.689	0.867	5.0	-6.385	0.0	0.0615	0.00929	0.0	0.0781	0.739	114.008	audio_features	188071.0	4.0
3ZDi0bl87WXsfXfPTCl3ki	Dangerous	0.82	0.614	0.0	-8.623	0.0	0.0731	0.0635	0.0026	0.316	0.763	115.015	audio_features	231653.0	4.0
531mQkYqVkISESEPmw9Eah	TRIPOD BABY	0.659	0.847	7.0	-5.831	0.0	0.111	0.521	0.0	0.323	0.628	124.869	audio_features	303400.0	4.0
1NzRZ7AosK7ZDumMsZYofo	Just Friends	0.868	0.656	7.0	-6.579	1.0	0.0351	0.0879	0.00316	0.14	0.793	114.991	audio_features	168983.0	4.0
5i5tjM2ou0V7HlOpqBpFuv	Magic - tofubeats Remix	0.785	0.614	8.0	-8.865	1.0	0.0588	0.353	0.00375	0.339	0.807	103.959	audio_features	298912.0	4.0
2NNMSuKq5tEAAc02B040Df	PETTY - Remix	0.448	0.701	11.0	-3.707	1.0	0.342	0.0279	0.0	0.135	0.682	79.549	audio_features	213111.0	4.0
3pzdhnz6HzXvCjZxSzDwiA	16yrs Remix (feat. Kan Sano)	0.324	0.588	11.0	-5.689	0.0	0.0898	0.197	0.0	0.195	0.224	177.753	audio_features	211968.0	4.0
6sdtNVpUAVkV7TNYMJqEJU	IRL	0.666	0.816	5.0	-5.692	1.0	0.0622	0.0706	3.47e-05	0.762	0.778	101.972	audio_features	204065.0	4.0
6AA63CSajKQcPfTU4LmhHq	Not In The Mood	0.659	0.794	0.0	-6.205	1.0	0.0549	0.0358	1.31e-05	0.282	0.731	102.037	audio_features	193084.0	4.0
3gnlEjMRzlZzB26J8xIPpb	In Touch	0.839	0.747	0.0	-5.505	0.0	0.187	0.186	5.16e-06	0.0697	0.948	106.016	audio_features	237737.0	4.0
6IiCb4PCrDgqLuDWgHhFi7	Inside Out (feat. Griff)	0.64	0.683	2.0	-4.309	1.0	0.0434	0.169	0.0	0.109	0.4	146.058	audio_features	186245.0	4.0
4keoy2fqgwGnbWlm3ZVZFa	Happy Now	0.503	0.741	4.0	-5.128	1.0	0.047	0.579	1.49e-06	0.0712	0.458	88.335	audio_features	207030.0	3.0
0yAlPJM52r6vM0Upk3NsDy	Learn (feat. PARISA)	0.777	0.541	4.0	-7.21	0.0	0.0302	0.0302	2.63e-06	0.0669	0.595	97.481	audio_features	197186.0	4.0
54mctjwCigqU06GdBzjznM	Momentum	0.796	0.649	1.0	-7.668	1.0	0.0483	0.0498	7.66e-05	0.0438	0.856	110.031	audio_features	188140.0	4.0
6qOY5MMxZuN2DQGOJ6qSKR	Love We Had	0.853	0.795	7.0	-7.346	1.0	0.06	0.0714	0.104	0.0961	0.803	125.014	audio_features	133728.0	4.0
4vrnHICJfoguGfzLkQeyy5	You	0.665	0.936	0.0	-5.991	1.0	0.0435	0.0419	0.00996	0.0878	0.517	123.994	audio_features	228750.0	4.0
30j17PGHg0vmx4IgKpZsWu	ok	0.904	0.542	0.0	-6.99	1.0	0.103	0.229	0.801	0.0751	0.473	122.012	audio_features	190119.0	4.0
3CUzFT1kB8i897irsbV4GD	Without You	0.503	0.876	4.0	-5.094	1.0	0.215	0.00245	0.178	0.357	0.466	123.813	audio_features	169355.0	4.0
4iELCZDu8BTCgP0MWNLQ9u	Like My Way	0.803	0.581	9.0	-8.054	1.0	0.17	0.0258	0.84	0.0768	0.163	125.007	audio_features	253440.0	4.0
4ZlRUnBg4g2J9Ofdd5thdI	So Into You - Jess Bays Remix	0.713	0.79	2.0	-6.711	0.0	0.0384	0.0805	0.00141	0.0713	0.602	125.003	audio_features	189273.0	4.0
2Rzr9nzXM1yX3NB8CwHWQg	Let It Go (with Marc E. Bassy) - Vintage Culture Remix	0.909	0.808	5.0	-6.588	0.0	0.147	0.029	0.000463	0.237	0.638	124.015	audio_features	204198.0	4.0
5UdOQKxkT9n82dzNKU9p8q	Feel Something - Sammy Porter Remix	0.764	0.986	11.0	-4.291	0.0	0.0583	0.00978	0.372	0.15	0.852	124.999	audio_features	173280.0	4.0
1d87n4WnUawIAyqAEGn6ps	megapunk - TSHA Remix	0.716	0.91	10.0	-7.695	0.0	0.0371	0.0288	0.791	0.118	0.757	130.012	audio_features	280807.0	4.0
47x1vM18oHbtCzpWujbOqM	What I Mean	0.84	0.973	9.0	-4.858	0.0	0.12	0.0606	0.0343	0.0825	0.895	129.964	audio_features	180000.0	4.0
4O2Cd6mRDAwXp5ggwDNYep	Electric Mama	0.808	0.995	6.0	-6.607	0.0	0.0429	6.74e-05	0.842	0.0573	0.952	127.997	audio_features	407344.0	4.0
4Gq2ikHCdv7v2Wfvb7Z8Ns	Beauty Sleep	0.733	0.775	2.0	-5.93	1.0	0.0467	0.005	0.691	0.159	0.758	127.999	audio_features	198750.0	4.0
5NMpjgdyG48RGtkjj8QENH	If You Wanna	0.609	0.882	3.0	-6.042	0.0	0.0305	0.0271	0.0141	0.0643	0.707	125.008	audio_features	180480.0	4.0
3LVDBfB3HAGUXSant5A32t	Love Changed Me feat. Byron Stingily - Frank Wiedemann & Toto Chiavetta Garage Remix	0.677	0.865	11.0	-6.315	0.0	0.0803	0.000876	0.295	0.0834	0.629	128.04	audio_features	291626.0	4.0
70n69mBQ7kaNPHpky7UEpF	On And On	0.666	0.869	7.0	-5.653	0.0	0.0315	0.0234	0.00194	0.303	0.409	125.006	audio_features	171780.0	4.0
2DrOVQdF9Mj0I5mkL4x2xD	By My Side - Edit	0.669	0.926	6.0	-9.758	1.0	0.0751	0.0283	0.0819	0.084	0.945	124.983	audio_features	178560.0	4.0
4TQgbkv9CF1Qy4GIfpZeSO	The World You See	0.545	0.903	10.0	-7.279	0.0	0.0485	0.0119	0.0647	0.0803	0.0398	126.0	audio_features	217515.0	4.0
6DB1uu3VcQqV6rae4lWze8	Love You Again (feat. Akua)	0.791	0.772	6.0	-5.962	0.0	0.0395	0.00673	0.207	0.138	0.571	121.982	audio_features	176551.0	4.0
6lhZLbb0czULpjb2kFryPS	Let's Love	0.662	0.868	5.0	-4.025	1.0	0.0341	0.00882	0.00244	0.584	0.353	92.998	audio_features	200645.0	4.0
59o6ojGNGJOYiVJSzC6Lsa	Memories (feat. Kid Cudi) - 2021 Remix	0.575	0.844	6.0	-4.89	0.0	0.072	0.00172	0.0	0.114	0.277	104.914	audio_features	177801.0	4.0
0XwSUpdrF7nR7hVxbDs7mb	Floating Through Space	0.758	0.904	4.0	-7.14	0.0	0.211	0.0643	0.00113	0.32	0.622	123.991	audio_features	149223.0	4.0
2YCaWWFaJafLTak3gzwk2N	Knock Me Out	0.712	0.74	8.0	-6.52	1.0	0.0552	0.323	0.0368	0.0848	0.0936	124.01	audio_features	293653.0	4.0
2dd3VTFfbTNJXpvhNGnFzQ	Tell Me It’s True	0.767	0.67	2.0	-9.153	1.0	0.045	0.0243	0.828	0.117	0.434	126.013	audio_features	201905.0	4.0
4vgP9RNzsXEUcW7Ws50VrI	Make Me Feel	0.671	0.778	10.0	-4.981	1.0	0.0272	0.0539	3.93e-05	0.0706	0.873	92.996	audio_features	234936.0	4.0
1xF1epQWGAJIQmiE65gcVy	このまま夢で feat. AAAMYYY	0.771	0.817	8.0	-4.007	0.0	0.148	0.0312	0.0	0.123	0.815	96.026	audio_features	183308.0	4.0
0GnJCWpVtHTaVkvH7hP81L	FALLIN’	0.722	0.748	1.0	-8.703	1.0	0.0687	0.269	0.125	0.0374	0.577	104.961	audio_features	207096.0	4.0
50RKXiXT8FqHInz2N1AixD	empties	0.665	0.566	0.0	-7.768	1.0	0.0262	0.0328	0.0984	0.104	0.186	126.031	audio_features	209413.0	4.0
7IWWFkmmFG9W8AsgOKMDmV	ame - AmPm Remix	0.577	0.854	7.0	-3.754	1.0	0.0473	0.0596	2.69e-05	0.205	0.336	94.999	audio_features	227631.0	4.0
0ltO5bci13M68sTnEctBxR	love somebody like you	0.824	0.484	11.0	-9.725	1.0	0.0668	0.0102	0.00381	0.0327	0.843	99.159	audio_features	247346.0	4.0
3sPpFnxfeb2grY6cH9JYk9	religion (u can lay your hands on me)	0.764	0.53	4.0	-7.444	1.0	0.0613	0.206	0.0	0.0876	0.443	105.965	audio_features	187867.0	4.0
2cpCm5ada85iPIhdc6YOOX	Pink	0.841	0.545	7.0	-8.696	1.0	0.0475	0.839	0.844	0.101	0.897	125.007	audio_features	226000.0	4.0
